,0
"angle(X,gravityMean)",0.03150895869068441
tGravityAcc-max()-X,0.02842811022243206
tGravityAcc-energy()-X,0.026768126344991018
tGravityAcc-mean()-Y,0.023154632464837063
tGravityAcc-min()-Y,0.022801519406664698
tGravityAcc-max()-Y,0.02257265828034037
tGravityAcc-min()-X,0.021094830367909344
tGravityAcc-mean()-X,0.02074632324806898
"angle(Y,gravityMean)",0.020431808096308318
tGravityAcc-energy()-Y,0.015546673729335
tGravityAcc-min()-Z,0.014380892132133971
fBodyAccJerk-max()-X,0.014244101618148033
tGravityAcc-entropy()-Y,0.013328068572311542
tBodyAccJerk-std()-X,0.012469679636861514
tGravityAcc-mean()-Z,0.012381617074217971
"fBodyAccJerk-bandsEnergy()-1,8",0.012355382429024874
tBodyAccJerk-iqr()-X,0.012273011457417372
tBodyAccJerk-mad()-X,0.0122688235830649
"angle(Z,gravityMean)",0.01225897965074615
fBodyAccMag-energy(),0.01027776547002791
tBodyAcc-max()-X,0.010265484935008196
fBodyAccMag-mad(),0.010051917600090783
"tGravityAcc-arCoeff()-Y,2",0.009908878576756692
"tGravityAcc-arCoeff()-Y,1",0.009181818867292463
fBodyAccJerk-energy()-X,0.008765532242517476
tGravityAcc-max()-Z,0.008736271402892553
fBodyAccMag-mean(),0.008545988608106644
tBodyAccJerk-sma(),0.008327183830618234
tGravityAccMag-std(),0.008276507693947537
tBodyAccMag-std(),0.008101682806232458
"tGravityAcc-arCoeff()-Y,3",0.007583463728330534
"tGravityAcc-arCoeff()-Z,2",0.007511499647271579
"tGravityAcc-arCoeff()-X,1",0.007217803652051893
tBodyAccJerkMag-mad(),0.006767157027911926
tBodyAccMag-mad(),0.006734027083636808
tBodyAccJerk-std()-Y,0.006500878303604443
fBodyAcc-energy()-X,0.006473432461726523
"fBodyAcc-bandsEnergy()-1,24",0.006371837242182055
"tGravityAcc-arCoeff()-X,2",0.006360298758942754
"tGravityAcc-arCoeff()-Z,3",0.006317081116577066
tBodyGyroJerk-iqr()-Z,0.006230559602132986
tBodyAccJerkMag-entropy(),0.006211711190710027
fBodyAcc-entropy()-X,0.006182065400648299
"tGravityAcc-arCoeff()-Z,1",0.006125564621563225
fBodyAccJerk-entropy()-X,0.0060516370333067206
tBodyAcc-energy()-X,0.005726222043174186
"fBodyAcc-bandsEnergy()-1,8",0.005582990231973319
tGravityAccMag-mad(),0.005569767998931929
"tGravityAcc-arCoeff()-X,3",0.005476929132245526
fBodyGyro-maxInds-Z,0.005332775918735286
tBodyAcc-std()-X,0.005191618853187217
fBodyAccJerk-std()-Y,0.005092392046662458
"fBodyAccJerk-bandsEnergy()-1,16",0.0050913440860637605
tBodyAccJerk-entropy()-X,0.004965392106799655
fBodyAccMag-std(),0.004635495274760781
"tGravityAcc-arCoeff()-Y,4",0.004633392066482162
tBodyGyro-mad()-X,0.004467929669692813
tBodyAccJerk-energy()-X,0.004411483514838092
fBodyBodyAccJerkMag-sma(),0.004351157877667712
fBodyAccJerk-std()-X,0.004348106880601286
tBodyGyroJerkMag-mean(),0.004315483804629939
tBodyAccJerkMag-sma(),0.004304870482841337
tBodyAccMag-arCoeff()1,0.004302467756203439
tBodyAccJerk-iqr()-Y,0.004286947857075449
fBodyGyro-meanFreq()-X,0.004204878898866483
"tBodyAcc-correlation()-X,Y",0.004103892897237075
tBodyAccJerkMag-std(),0.004081364423144013
fBodyAcc-mean()-X,0.004023502045315644
tGravityAcc-energy()-Z,0.003738389974061765
fBodyAccJerk-maxInds-X,0.0036321873137072714
fBodyAcc-meanFreq()-Z,0.0035551327786795634
fBodyAccMag-meanFreq(),0.0035401856161144853
tBodyGyroJerk-iqr()-X,0.0035151605645265304
"fBodyAcc-bandsEnergy()-1,16",0.003447476215680514
tBodyAccMag-max(),0.0033873376498329616
tGravityAccMag-arCoeff()1,0.00329872455947105
tBodyGyro-iqr()-X,0.0032934124627191073
tBodyAcc-mad()-X,0.0031912188740716814
fBodyGyro-maxInds-X,0.0031679094790937625
tGravityAcc-sma(),0.0030871380363834927
fBodyGyro-std()-X,0.0028984933801582346
"fBodyAccJerk-bandsEnergy()-17,32nn",0.0028735300520777085
"fBodyGyro-bandsEnergy()-1,16",0.00277860936710533
"tGravityAcc-correlation()-X,Y",0.002763659513296579
fBodyAccMag-max(),0.002729211681707821
tGravityAccMag-max(),0.0027188030625223806
tBodyAccMag-arCoeff()2,0.002691126203564415
fBodyAccJerk-max()-Y,0.002687363880840813
tBodyAccJerk-mad()-Y,0.002666977269745352
"fBodyGyro-bandsEnergy()-1,8",0.0026443972392817226
"fBodyAccJerk-bandsEnergy()-9,16",0.0026331368959088496
fBodyAccMag-sma(),0.002610162926102455
fBodyAccJerk-mean()-X,0.0025380200271140595
tBodyGyro-max()-X,0.0025024509789047266
tBodyAccJerkMag-mean(),0.002461296646020061
tBodyGyro-std()-X,0.00245489410141199
fBodyAccJerk-energy()-Y,0.0024274991780906217
fBodyBodyAccJerkMag-mad(),0.0024036809481762593
tGravityAcc-std()-X,0.002391687179652459
tBodyGyroJerkMag-sma(),0.0023555795452402644
tBodyGyroJerk-mad()-Z,0.0023544611668503863
"fBodyAccJerk-bandsEnergy()-1,24",0.002353756602029164
fBodyAcc-max()-X,0.0023471816973076047
fBodyAcc-mad()-X,0.0023402907994103887
fBodyAccJerk-sma(),0.002323417941908546
fBodyBodyGyroMag-meanFreq(),0.002316230582259869
"fBodyAccJerk-bandsEnergy()-1,24n",0.0023117066316177153
tBodyGyro-entropy()-X,0.002296604054742658
tBodyAccJerk-std()-Z,0.0022939871627202808
fBodyBodyAccJerkMag-mean(),0.0022707200793207678
"fBodyAccJerk-bandsEnergy()-1,8n",0.0022477579807285253
"fBodyGyro-bandsEnergy()-1,24",0.0022087822877378625
"fBodyAccJerk-bandsEnergy()-41,48",0.0021605429674314016
"fBodyAccJerk-bandsEnergy()-17,32",0.002140032080690048
fBodyAccJerk-iqr()-Y,0.0021246277788583103
fBodyBodyAccJerkMag-entropy(),0.00210424127777099
fBodyGyro-mean()-X,0.002103646347358411
fBodyGyro-max()-X,0.0020920071268469838
tGravityAcc-entropy()-X,0.0020899102049947433
tBodyAccJerk-max()-X,0.00208440792406678
tBodyAccJerkMag-max(),0.0020831969327590474
fBodyGyro-energy()-X,0.002056720702307775
"tGravityAcc-arCoeff()-X,4",0.0020555710876529187
"tGravityAcc-arCoeff()-Z,4",0.0020328783938898484
fBodyAcc-std()-X,0.0019394624242037434
tBodyGyroJerk-std()-X,0.0018789921246792282
