,WALKING,WALKING_UPSTAIRS,LAYING,STANDING,WALKING_DOWNSTAIRS,SITTING,TOTAL
1,95,53,50,49,49,47,343
2,59,48,48,54,47,46,302
3,58,59,62,61,49,52,341
4,60,52,54,56,45,50,317
5,56,47,52,56,47,44,302
6,57,51,57,57,48,55,325
7,57,51,52,53,47,48,308
8,48,41,54,54,38,46,281
9,52,49,50,45,42,50,288
10,53,47,58,44,38,54,294
11,59,54,57,47,46,53,316
12,50,52,60,61,46,51,320
13,57,55,62,57,47,49,327
14,59,54,51,60,45,54,323
15,54,48,72,53,42,59,328
16,51,51,70,78,47,69,366
17,61,48,71,78,46,64,368
18,56,58,65,73,55,57,364
19,52,40,83,73,39,73,360
20,51,51,68,73,45,66,354
21,52,47,90,89,45,85,408
22,46,42,72,63,36,62,321
23,59,51,72,68,54,68,372
24,58,59,72,69,55,68,381
25,74,65,73,74,58,65,409
26,59,55,76,74,50,78,392
27,57,51,74,80,44,70,376
28,54,51,80,79,46,72,382
29,53,49,69,65,48,60,344
30,65,65,70,59,62,62,383
